id;description;cost;min_participants;max_participants;time;in_or_out;home_or_away
1;fooey;indict;5328;24936;21710;tog knottily blight;mundane problem
2;weakly dereference triumphantly;yuck mostly;3481;24298;16814;quietly;certainly
3;attractive insignificant dislodge;unscrew;12422;9913;20713;lest tomorrow through;wry hence
4;foolhardy assail;bare;4138;6549;21710;prefix periodic furl;tame daily reproduce
5;brr;or banish aboard;12886;29798;11980;pause;aboard indeed
6;whose;near yet;29805;14385;252;front;instrumentation
7;hmph pitch;desensitize forenenst;14929;8214;17358;furthermore incidentally;how aide
8;pfft um openly;meek;3249;19562;2282;how;imprint hm worthwhile
9;only;with militarize reckless;3252;953;880;magnitude despite yippee;so
10;coarse;bah;10655;26324;22788;arm like exotic;intensely bound horrible
